Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details
21492-8468,D,Dan,Dan Hamhuis,Hamhuis,2.666666667,3,3600,ARI@DAL,DAL,ARI,,
21492-8487,D,David Johnny,David Johnny Oduya,Oduya,4.800000191,2,3600,VAN@OTT,OTT,VAN,DTD,Lower body
21492-39235,C,Chris,Chris Tierney,Tierney,8.199999809,4,3600,MON@SJ,SJ,MON,,
21492-12613,D,Radko,Radko Gudas,Gudas,5.759999847,5,3600,FLA@PHI,PHI,FLA,,
21492-8526,D,Dan,Dan Girardi,Girardi,5.120000076,5,3600,TB@DET,TB,DET,,
21492-39271,W,Seth,Seth Griffith,Griffith,2.660000038,5,3600,BUF@VGK,BUF,VGK,,
21492-39309,D,Chad,Chad Ruhwedel,Ruhwedel,5.333333333,3,3600,PIT@NYR,PIT,NYR,,
21492-8607,D,Brooks,Brooks Orpik,Orpik,5.333333333,6,3600,TOR@WAS,WAS,TOR,,
21492-21926,D,Brian,Brian Dumoulin,Dumoulin,4.26666673,6,3600,PIT@NYR,PIT,NYR,,
21492-21936,D,Dylan,Dylan DeMelo,DeMelo,8,2,3600,MON@SJ,SJ,MON,,
21492-12744,D,Mark,Mark Pysyk,Pysyk,7.400000095,4,3600,FLA@PHI,FLA,PHI,,
21492-62927,C,Derek,Derek Ryan,Ryan,7.366666794,3,3600,CAR@EDM,CAR,EDM,,
21492-12793,D,Brayden,Brayden McNabb,McNabb,6,4,3600,BUF@VGK,VGK,BUF,,
21492-23060,D,Tim,Tim Heed,Heed,7.199999809,2,3600,MON@SJ,SJ,MON,,
21492-58974,D,Julius,Julius Honka,Honka,1.600000064,3,3600,ARI@DAL,DAL,ARI,,
21492-8810,W,Michael,Michael Grabner,Grabner,4,6,3600,PIT@NYR,NYR,PIT,,
21492-8877,D,Jason,Jason Garrison,Garrison,10,4,3600,BUF@VGK,VGK,BUF,,
21492-8878,D,Dmitry,Dmitry Kulikov,Kulikov,7.519999695,5,3600,CLS@WPG,WPG,CLS,DTD,Lower body
21492-23222,W,Zemgus,Zemgus Girgensons,Girgensons,9.759999847,5,3600,BUF@VGK,BUF,VGK,,
21492-42705,C,Colton,Colton Sissons,Sissons,2.799999952,4,3600,COL@NSH,NSH,COL,,
21492-23286,D,Ryan,Ryan Murray,Murray,9.119999695,5,3600,CLS@WPG,CLS,WPG,,
21492-11152,W,Zack,Zack Kassian,Kassian,5.199999809,4,3600,CAR@EDM,EDM,CAR,,
21492-42910,D,Darnell,Darnell Nurse,Nurse,9.600000381,4,3600,CAR@EDM,EDM,CAR,,
21492-42924,D,Colin,Colin Miller,Miller,2.799999952,4,3600,BUF@VGK,VGK,BUF,,
21492-66508,W,Travis,Travis Konecny,Konecny,8.259999847,5,3600,FLA@PHI,PHI,FLA,,
21492-15333,W,Antoine,Antoine Roussel,Roussel,1.6,5,3600,ARI@DAL,DAL,ARI,,
21492-8167,D,Ron,Ron Hainsey,Hainsey,8.319999695,5,3600,TOR@WAS,TOR,WAS,,
21492-42994,D,Nikita,Nikita Zadorov,Zadorov,8.8,5,3600,COL@NSH,COL,NSH,,
21492-11254,D,Ian,Ian Cole,Cole,4.26666673,3,3600,PIT@NYR,PIT,NYR,IR,Mouth
21492-66566,D,Robbie,Robbie Russo,Russo,2.610526235,19,3500,TB@DET,DET,TB,,
21492-79881,D,Tucker,Tucker Poolman,Poolman,4,2,3500,CLS@WPG,WPG,CLS,,
21492-79885,D,Nick,Nick DeSimone,DeSimone,0,0,3500,MON@SJ,SJ,MON,,
21492-9230,D,Cameron,Cameron Gaunce,Gaunce,5.400000254,12,3500,CLS@WPG,CLS,WPG,,
21492-15374,D,Scott,Scott Harrington,Harrington,0,1,3500,CLS@WPG,CLS,WPG,,
21492-15380,D,Jordie,Jordie Benn,Benn,5.120000076,5,3500,MON@SJ,MON,SJ,,
21492-11295,D,Steven,Steven Kampfer,Kampfer,6.400000095,2,3500,PIT@NYR,NYR,PIT,,
21492-38947,D,Andrej,Andrej Sustr,Sustr,1.600000024,1,3500,TB@DET,TB,DET,,
21492-11302,D,Eric,Eric Gryba,Gryba,2.400000095,4,3500,CAR@EDM,EDM,CAR,,
21492-15398,D,Brandon,Brandon Manning,Manning,6.400000095,2,3500,FLA@PHI,PHI,FLA,,
21492-8237,C,Brandon,Brandon Sutter,Sutter,7,4,3500,VAN@OTT,VAN,OTT,,
21492-39990,C,William,William Karlsson,Karlsson,3.200000048,4,3500,BUF@VGK,VGK,BUF,,
21492-8270,D,Niklas,Niklas Hjalmarsson,Hjalmarsson,6.4,5,3500,ARI@DAL,ARI,DAL,,
21492-13406,D,Brenden,Brenden Dillon,Dillon,6.400000095,4,3500,MON@SJ,SJ,MON,,
21492-9330,D,Yannick,Yannick Weber,Weber,4.E-01,4,3500,COL@NSH,NSH,COL,DTD,Upper body
21492-43123,D,Trevor,Trevor Carrick,Carrick,0,0,3500,CAR@EDM,CAR,EDM,,
21492-11387,D,Matt,Matt Irwin,Irwin,4.479999924,5,3500,COL@NSH,NSH,COL,,
21492-79994,D,Jakub,Jakub Jerabek,Jerabek,0,0,3500,MON@SJ,MON,SJ,,
21492-66705,D,Ian,Ian McCoshen,McCoshen,6.599999905,4,3500,FLA@PHI,FLA,PHI,,
21492-14481,D,Alexei,Alexei Emelin,Emelin,3.200000048,4,3500,COL@NSH,NSH,COL,,
21492-11410,D,Justin,Justin Braun,Braun,4.800000191,4,3500,MON@SJ,SJ,MON,,
21492-21650,D,Xavier,Xavier Ouellet,Ouellet,4.479999924,5,3500,TB@DET,DET,TB,,
21492-21651,D,Ryan,Ryan Sproul,Sproul,5.833333333,27,3500,TB@DET,DET,TB,,
21492-12447,D,Erik,Erik Gudbranson,Gudbranson,5.199999809,4,3500,VAN@OTT,VAN,OTT,,
21492-21687,D,Greg,Greg Pateryn,Pateryn,6.911111196,36,3500,ARI@DAL,DAL,ARI,,
21492-43207,D,Jake,Jake Dotchin,Dotchin,4.400000095,4,3500,TB@DET,TB,DET,,
21492-54481,D,Jake,Jake McCabe,McCabe,5.120000076,5,3500,BUF@VGK,BUF,VGK,,
21492-21732,D,Anthony,Anthony Bitetto,Bitetto,1.600000024,2,3500,COL@NSH,NSH,COL,,
21492-21735,D,Matt,Matt Tennyson,Tennyson,3.2,5,3500,BUF@VGK,BUF,VGK,,
21492-82179,W,Alexander,Alexander Kerfoot,Kerfoot,4.666666667,6,3500,COL@NSH,COL,NSH,,
21492-8451,D,Josh,Josh Gorges,Gorges,5.599999905,2,3500,BUF@VGK,BUF,VGK,,
21492-70914,D,Jakob,Jakob Chychrun,Chychrun,7.132352941,68,3500,ARI@DAL,ARI,DAL,IR,Knee
21492-8506,D,Mark,Mark Streit,Streit,2.400000095,2,3500,MON@SJ,MON,SJ,,
21492-12609,W,Zach,Zach Hyman,Hyman,8.959999847,5,3500,TOR@WAS,TOR,WAS,,
21492-12611,D,Alex,Alex Petrovic,Petrovic,4,4,3500,FLA@PHI,FLA,PHI,,
21492-39240,D,Luke,Luke Witkowski,Witkowski,1.600000024,2,3500,TB@DET,DET,TB,,
21492-8528,D,Marc,Marc Staal,Staal,6,6,3500,PIT@NYR,NYR,PIT,,
21492-8531,D,Michael,Michael Del Zotto,Del Zotto,6.800000191,4,3500,VAN@OTT,VAN,OTT,,
21492-12646,C,Alex,Alex Burmistrov,Burmistrov,4.26666673,3,3500,VAN@OTT,VAN,OTT,,
21492-8567,D,Braydon,Braydon Coburn,Coburn,7.040000153,5,3500,TB@DET,TB,DET,,
21492-23928,C,Radek,Radek Faksa,Faksa,3.520000076,5,3500,ARI@DAL,DAL,ARI,,
21492-22905,D,Fredrik,Fredrik Claesson,Claesson,5.759999847,5,3500,VAN@OTT,OTT,VAN,,
